Gemeinde,Kanton,Einwohner,Fläche
Aadorf,TG,9800,19.94
Aarau,AG,22710,12.34
Aarberg,BE,4620,7.93
Aarburg,AG,8917,4.41
Aarwangen,BE,4813,9.9
Abtwil,AG,1120,4.14
Aclens,VD,585,3.9
Acquarossa,TI,1796,61.78
Adelboden,BE,3420,87.62
Adligenswil,LU,5617,6.99
Adliswil,ZH,19893,7.77
Aedermannsdorf,SO,593,12.92
Aefligen,BE,1140,2.04
Aegerten,BE,2473,2.16
Aesch (BL),BL,11137,7.4
Aesch (LU),LU,1453,4.61
Aesch (ZH),ZH,1659,5.24
Aeschi (SO),SO,1328,5.48
Aeschi bei Spiez,BE,2325,31
Aeugst am Albis,ZH,1995,7.91
Affeltrangen,TG,2880,14.43
Affoltern am Albis,ZH,12882,10.59
Affoltern im Emmental,BE,1211,11.51
Agarn,VS,745,7.65
Agiez,VD,372,5.46
Agno,TI,4554,2.49
Aigle,VD,11752,16.41
Aire-la-Ville,GE,1173,2.93
Airolo,TI,1452,94.35
Alberswil,LU,735,3.53
Albinen,VS,259,15.56
Albula/Alvra,GR,1354,93.93
Alchenstorf,BE,634,6.57
Allaman,VD,430,2.61
Alle,JU,1946,10.6
Allmendingen,BE,532,3.81
Allschwil,BL,22155,8.89
Alpnach,OW,6511,53.79
Alpthal,SZ,632,22.88
Altbüron,LU,1014,6.75
Altdorf (UR),UR,10459,10.21
Altendorf,SZ,7426,20.41
Altikon,ZH,774,7.7
Altishofen,LU,2057,14.32
Altnau,TG,2355,6.73
Alto Malcantone,TI,1390,22.06
Altstätten,SG,12581,39.46
Amden,SG,1901,43.05
Amlikon-Bissegg,TG,1414,14.46
Ammerswil,AG,802,3.19
Amriswil,TG,14951,19.02
Amsoldingen,BE,834,4.71
Andeer,GR,923,46.3
Andelfingen,ZH,3681,16.99
Andermatt,UR,1578,62.26
Andwil (SG),SG,2144,6.31
Anières,GE,2563,3.86
Anniviers,VS,2790,243.37
Anwil,BL,547,3.95
Appenzell,AI,6096,16.88
Aranno,TI,351,2.59
Arbaz,VS,1461,19.16
Arbedo-Castione,TI,5160,21.39
Arboldswil,BL,608,3.47
Arbon,TG,16354,6
Arch,BE,1744,6.38
Ardon,VS,3835,20.39
Arisdorf,BL,1734,10
Aristau,AG,1603,8.64
Arlesheim,BL,9314,6.93
Arnex-sur-Nyon,VD,270,2.04
Arnex-sur-Orbe,VD,694,7.62
Arni (AG),AG,1987,3.37
Arni (BE),BE,983,10.43
Arogno,TI,938,8.49
Arosa,GR,3159,154.78
Arth,SZ,12524,42.02
Arzier-Le Muids,VD,2968,51.9
Ascona,TI,5322,4.95
Assens,VD,1717,8.46
Attalens,FR,3693,9.74
Attinghausen,UR,1787,46.89
Attiswil,BE,1546,7.65
Au (SG),SG,8628,4.65
Aubonne,VD,3856,14.33
Auenstein,AG,1743,5.68
Augst,BL,1087,1.65
Ausserberg,VS,640,15.13
Auswil,BE,477,4.62
Autigny,FR,840,6.22
Auw,AG,2301,8.56
Avegno Gordevio,TI,1534,27.33
Avenches,VD,4875,19.47
Avers,GR,169,93.14
Avry,FR,1949,5.83
Avully,GE,1746,4.62
Avusy,GE,1412,5.17
Ayent,VS,4451,55.34
Baar,ZG,25004,24.85
Bachenbülach,ZH,4286,4.31
Bachs,ZH,678,9.13
Bad Ragaz,SG,6872,25.4
Baden,AG,23853,14.72
Balerna,TI,3356,2.53
Balgach,SG,5210,6.52
Ballaigues,VD,1218,9.06
Ballens,VD,579,8.45
Ballwil,LU,2840,8.77
Balm bei Günsberg,SO,230,5.47
Balsthal,SO,6560,15.71
Baltschieder,VS,1386,31.23
Bannwil,BE,678,4.78
Bardonnex,GE,2545,5
Bäretswil,ZH,5148,22.19
Bargen (BE),BE,1096,7.86
Bargen (SH),SH,342,8.27
Bäriswil,BE,1119,2.73
Bärschwil,SO,796,11.19
Bas-Intyamon,FR,1726,33.34
Basadingen-Schlattingen,TG,1902,15.63
Basel,BS,177571,23.85
Basse-Allaine,JU,1197,23.04
Basse-Vendline,JU,736,18.67
Bassersdorf,ZH,12301,9.03
Bassins,VD,1483,20.78
Bätterkinden,BE,3375,10.19
Bättwil,SO,1192,1.67
Baulmes,VD,1165,22.5
Bauma,ZH,5112,29.53
Bavois,VD,1041,9.35
Beatenberg,BE,1229,29.25
Beckenried,NW,3712,24.24
Bedano,TI,1510,1.87
Bedretto,TI,108,75.19
Beggingen,SH,485,12.58
Begnins,VD,2035,4.79
Beinwil (Freiamt),AG,1309,11.31
Beinwil (SO),SO,262,22.66
Beinwil am See,AG,3719,3.82
Belfaux,FR,3452,8.88
Bellach,SO,5556,5.29
Bellevue,GE,4105,4.37
Bellikon,AG,1580,4.94
Bellinzona,TI,45305,164.2
Bellmund,BE,1801,3.8
